,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
542,22,0.2,26,0.8,9.876189198,9.916432
543,31,0.2,26,0.8,9.882265529,9.742362
544,40,0.2,26,0.8,9.885868816,9.570487
545,4,0.3,26,0.8,6.913157295,6.8817263
546,13,0.3,26,0.8,12.30917579,12.529284
547,22,0.3,26,0.8,13.18565952,13.479093
548,31,0.3,26,0.8,13.19768468,13.414454
549,40,0.3,26,0.8,13.2040853,13.357787
550,4,0.4,26,0.8,6.517688174,6.5236006
551,13,0.4,26,0.8,14.87883186,14.964185
552,22,0.4,26,0.8,16.06408499,16.124062
553,31,0.4,26,0.8,16.08094174,16.092777
554,40,0.4,26,0.8,16.09011886,16.095768
555,4,0.5,26,0.8,5.850857265,5.9046273
556,13,0.5,26,0.8,16.74585539,16.526413
557,22,0.5,26,0.8,18.09409272,17.696268
558,31,0.5,26,0.8,18.11191493,17.668161
559,40,0.5,26,0.8,18.12207004,17.708364
560,4,0.6,26,0.8,5.313251957,5.604065
561,13,0.6,26,0.8,17.26793082,17.565731
562,22,0.6,26,0.8,18.53705488,18.66598
563,31,0.6,26,0.8,18.55273529,18.629717
564,40,0.6,26,0.8,18.56212828,18.691568
565,4,0.7,26,0.8,5.642767972,5.8818865
566,13,0.7,26,0.8,18.1641702,18.260315
567,22,0.7,26,0.8,19.23997155,19.229593
568,31,0.7,26,0.8,19.26867309,19.173841
569,40,0.7,26,0.8,19.27280064,19.241491
570,4,0.2,32,0.8,8.055274024,7.9232254
571,13,0.2,32,0.8,11.47857093,11.344416
572,22,0.2,32,0.8,12.55451985,12.473959
573,31,0.2,32,0.8,12.57314251,12.358249
574,40,0.2,32,0.8,12.58041336,12.214627
575,4,0.3,32,0.8,8.391327628,8.497084
576,13,0.3,32,0.8,14.86673323,14.87207
577,22,0.3,32,0.8,16.67315399,16.715143
578,31,0.3,32,0.8,16.70325028,16.64264
579,40,0.3,32,0.8,16.71715412,16.592058
580,4,0.4,32,0.8,7.633480467,7.800468
581,13,0.4,32,0.8,17.56494115,17.55307
582,22,0.4,32,0.8,20.03943235,19.8444
583,31,0.4,32,0.8,20.07795786,19.814371
584,40,0.4,32,0.8,20.09738151,19.859766
585,4,0.5,32,0.8,6.512485762,6.7609124
586,13,0.5,32,0.8,18.88646593,19.523653
587,22,0.5,32,0.8,21.60888132,22.012774
588,31,0.5,32,0.8,21.64905827,21.993408
589,40,0.5,32,0.8,21.66739663,22.090014
590,4,0.6,32,0.8,6.217969061,6.3641367
